id,sequence
fadg0_si1279,諆
fadg0_si1909,諆
fadg0_si649,諆
fadg0_sx109,諆
fadg0_sx199,諆
fadg0_sx289,諆
fadg0_sx379,諆
faks0_si1573,諆
faks0_si2203,諆
faks0_si943,諆
faks0_sx133,諆
faks0_sx223,諆
faks0_sx313,諆
faks0_sx403,諆
fcal1_si1403,諆
fcal1_si2033,諆
fcal1_si773,諆
fcal1_sx143,諆
fcal1_sx233,諆
fcal1_sx323,諆
fcal1_sx413,諆
fcal1_sx53,諆
fcmh0_si1454,諆
fcmh0_si2084,諆
fcmh0_si824,諆
fcmh0_sx104,諆
fcmh0_sx194,諆
fcmh0_sx284,諆
fcmh0_sx374,諆
fdac1_si1474,諆
fdac1_si2104,諆
fdac1_si844,諆
fdac1_sx124,諆
fdac1_sx214,諆
fdac1_sx304,諆
fdac1_sx394,諆
fdms0_si1218,諆
fdms0_si1502,諆
fdms0_si1848,諆
fdms0_sx138,諆
fdms0_sx228,諆
fdms0_sx318,諆
fdms0_sx408,諆
fdms0_sx48,諆
fdrw0_si1283,諆
fdrw0_si1423,諆
fdrw0_si653,諆
fdrw0_sx113,諆
fdrw0_sx203,諆
fdrw0_sx293,諆
fdrw0_sx383,諆
fedw0_si1084,諆
fedw0_si1653,諆
fedw0_si1714,諆
fedw0_sx184,諆
fedw0_sx274,諆
fedw0_sx364,諆
fedw0_sx94,諆
fgjd0_si1179,諆
fgjd0_si549,諆
fgjd0_si818,諆
fgjd0_sx189,諆
fgjd0_sx279,諆
fgjd0_sx369,諆
fgjd0_sx99,諆
fjem0_si1264,諆
fjem0_si1894,諆
fjem0_si634,諆
fjem0_sx184,諆
fjem0_sx274,諆
fjem0_sx364,諆
fjem0_sx94,諆
fjmg0_si1181,諆
fjmg0_si1811,諆
fjmg0_si551,諆
fjmg0_sx101,諆
fjmg0_sx191,諆
fjmg0_sx281,諆
fjmg0_sx371,諆
fjsj0_si1484,諆
fjsj0_si2114,諆
fjsj0_si854,諆
fjsj0_sx134,諆
fjsj0_sx224,諆
fjsj0_sx314,諆
fjsj0_sx404,諆
fkms0_si1490,諆
fkms0_si2120,諆
fkms0_si860,諆
fkms0_sx140,諆
fkms0_sx230,諆
fkms0_sx320,諆
fkms0_sx410,諆
fkms0_sx50,諆
fmah0_si1289,諆
fmah0_si1919,諆
fmah0_si659,諆
fmah0_sx119,諆
fmah0_sx209,諆
fmah0_sx299,諆
fmah0_sx389,諆
fmml0_si1040,諆
