id,sequence
fadg0_si1279,
fadg0_si1909,
fadg0_si649,裚諆
fadg0_sx109,
fadg0_sx199,裚諆
fadg0_sx289,
fadg0_sx379,
faks0_si1573,裚諆
faks0_si2203,裚諆
faks0_si943,裚諆
faks0_sx133,裚諆
faks0_sx223,
faks0_sx313,裚諆
faks0_sx403,裚諆
fcal1_si1403,裚諆
fcal1_si2033,裚諆
fcal1_si773,
fcal1_sx143,
fcal1_sx233,
fcal1_sx323,
fcal1_sx413,
fcal1_sx53,
fcmh0_si1454,裚諆
fcmh0_si2084,
fcmh0_si824,裚諆
fcmh0_sx104,
fcmh0_sx194,
fcmh0_sx284,裚諆
fcmh0_sx374,
fdac1_si1474,裚諆
fdac1_si2104,裚諆
fdac1_si844,裚諆
fdac1_sx124,
fdac1_sx214,裚諆
fdac1_sx304,裚諆
fdac1_sx394,裚諆
fdms0_si1218,
fdms0_si1502,裚諆
fdms0_si1848,
fdms0_sx138,
fdms0_sx228,
fdms0_sx318,
fdms0_sx408,
fdms0_sx48,
fdrw0_si1283,裚諆
fdrw0_si1423,
fdrw0_si653,
fdrw0_sx113,裚諆
fdrw0_sx203,裚諆
fdrw0_sx293,
fdrw0_sx383,
fedw0_si1084,裚諆
fedw0_si1653,
fedw0_si1714,裚諆
fedw0_sx184,裚諆
fedw0_sx274,裚諆
fedw0_sx364,裚諆
fedw0_sx94,裚諆
fgjd0_si1179,
fgjd0_si549,裚諆
fgjd0_si818,裚諆
fgjd0_sx189,裚諆
fgjd0_sx279,裚諆
fgjd0_sx369,
fgjd0_sx99,裚諆
fjem0_si1264,裚諆
fjem0_si1894,
fjem0_si634,裚諆
fjem0_sx184,
fjem0_sx274,裚諆
fjem0_sx364,裚諆
fjem0_sx94,裚諆
fjmg0_si1181,裚諆
fjmg0_si1811,
fjmg0_si551,裚諆
fjmg0_sx101,裚諆
fjmg0_sx191,裚諆
fjmg0_sx281,裚諆
fjmg0_sx371,裚諆
fjsj0_si1484,
fjsj0_si2114,
fjsj0_si854,
fjsj0_sx134,
fjsj0_sx224,
fjsj0_sx314,裚諆
fjsj0_sx404,
fkms0_si1490,
fkms0_si2120,裚諆
fkms0_si860,裚諆
fkms0_sx140,
fkms0_sx230,裚諆
fkms0_sx320,
fkms0_sx410,
fkms0_sx50,
fmah0_si1289,
fmah0_si1919,裚諆
fmah0_si659,裚諆
fmah0_sx119,
fmah0_sx209,
fmah0_sx299,裚諆
fmah0_sx389,
fmml0_si1040,裚諆
fmml0_si1670,
fmml0_si2300,
fmml0_sx140,裚諆
fmml0_sx230,裚諆
fmml0_sx320,裚諆
fmml0_sx410,
fmml0_sx50,裚諆
fnmr0_si1399,裚諆
fnmr0_si2029,
fnmr0_si769,
fnmr0_sx139,
fnmr0_sx229,
fnmr0_sx319,
fnmr0_sx409,裚諆
fnmr0_sx49,
frew0_si1030,
frew0_si1280,裚諆
frew0_si1910,
frew0_sx110,
frew0_sx200,
frew0_sx290,裚諆
frew0_sx380,
fsem0_si1198,
fsem0_si1828,裚諆
fsem0_si568,裚諆
fsem0_sx118,
fsem0_sx208,
fsem0_sx298,
fsem0_sx388,裚諆
majc0_si1946,
majc0_si2095,
majc0_si835,裚諆
majc0_sx115,
majc0_sx205,裚諆
majc0_sx295,裚諆
majc0_sx385,
mbdg0_si1463,
mbdg0_si2093,裚諆
mbdg0_si833,
mbdg0_sx113,
mbdg0_sx203,
mbdg0_sx293,裚諆
mbdg0_sx383,
mbns0_si1220,
mbns0_si1850,
mbns0_si590,裚諆
mbns0_sx140,裚諆
mbns0_sx230,裚諆
mbns0_sx320,
mbns0_sx410,
mbns0_sx50,
