id,sequence
fadg0_si1279,痲
fadg0_si1909,痲
fadg0_si649,痲
fadg0_sx109,痲
fadg0_sx199,痲
fadg0_sx289,痲
fadg0_sx379,痲
faks0_si1573,痲
faks0_si2203,痲
faks0_si943,痲
faks0_sx133,痲
faks0_sx223,痲
faks0_sx313,痲
faks0_sx403,痲
fcal1_si1403,痲
fcal1_si2033,痲
fcal1_si773,痲
fcal1_sx143,痲
fcal1_sx233,痲
fcal1_sx323,痲
fcal1_sx413,痲
fcal1_sx53,痲
fcmh0_si1454,痲
fcmh0_si2084,痲
fcmh0_si824,痲
fcmh0_sx104,痲
fcmh0_sx194,痲
fcmh0_sx284,痲
fcmh0_sx374,痲
fdac1_si1474,痲
fdac1_si2104,痲
fdac1_si844,痲
fdac1_sx124,痲
fdac1_sx214,痲
fdac1_sx304,痲
fdac1_sx394,痲
fdms0_si1218,痲
fdms0_si1502,痲
fdms0_si1848,痲
fdms0_sx138,痲
fdms0_sx228,痲
fdms0_sx318,痲
fdms0_sx408,痲
fdms0_sx48,痲
fdrw0_si1283,痲
fdrw0_si1423,痲
fdrw0_si653,痲
fdrw0_sx113,痲
fdrw0_sx203,痲
fdrw0_sx293,痲
fdrw0_sx383,痲
fedw0_si1084,痲
fedw0_si1653,痲
fedw0_si1714,痲
fedw0_sx184,痲
fedw0_sx274,痲
fedw0_sx364,痲
fedw0_sx94,痲
fgjd0_si1179,痲
fgjd0_si549,痲
fgjd0_si818,痲
fgjd0_sx189,痲
fgjd0_sx279,痲
fgjd0_sx369,痲
fgjd0_sx99,痲
fjem0_si1264,痲
fjem0_si1894,痲
fjem0_si634,痲
fjem0_sx184,痲
fjem0_sx274,痲
fjem0_sx364,痲
fjem0_sx94,痲
fjmg0_si1181,痲
fjmg0_si1811,痲
fjmg0_si551,痲
fjmg0_sx101,痲
fjmg0_sx191,痲
fjmg0_sx281,痲
fjmg0_sx371,痲
fjsj0_si1484,痲
fjsj0_si2114,痲
fjsj0_si854,痲
fjsj0_sx134,痲
fjsj0_sx224,痲
fjsj0_sx314,痲
fjsj0_sx404,痲
fkms0_si1490,痲
fkms0_si2120,痲
fkms0_si860,痲
fkms0_sx140,痲
