id,phone_sequence
fadg0_si1279,p r er sil k s aa r er n l sil t er n sil t ih f s
fadg0_si1909,hh f eh ae eh sil sh ih eh uw ih sil g ih n l uw ih s t r l s sil dh sil n iy f ih sh er
fadg0_si649,ih sil s eh f r er s f er m l ay ae sil ih v f sh iy n ih sil t s t iy ih v sil p er sil dh ah s eh n r er s sil eh sil t f er hh er r ow l ih sil k l iy er f sh eh sil p
fadg0_sx109,ch sh iy s l sil t ih n s sil p r iy ng iy hh er ay ae ih sil k ow l aa n s sil t iy sil s l ow sil p
fadg0_sx199,y iy eh n sil ch aa ow l sil v er n sh ih dx v b w dx d sil k s sil dh ah ow er sh er sil t ih sil ih n t ey sil jh ih s sil t ih z iy z s ih s
fadg0_sx289,w ih sil er sil p r f sil k l aa sh ih z er v b ih er iy y iy s f l ah n s iy ae n l
fadg0_sx379,p k ey ae n sil g iy ih n s sil r aa ay v iy n l ah s n s l aa n sil dh er s sil t eh ey s
faks0_si1573,hh k ih s sil k ae aw aa sil ah iy ow s sil dh iy ih n eh n hh ae ey ay sil er sil d ih n ih z s sil iy dx ih f l sil b ow uw sil s sil aa er w aa r er n ih n sh ch ae sil iy
faks0_si2203,dh v r iy s ey ae ih s f sil dh ih s sil aa ay ey sil s iy ng iy sil f l sh n ae aw l
faks0_si943,p r sil d ah aa sil k sh ih uw n ey f aa l f aa sil b l w l ow l w sil k s sil ih sil p ey sh n sil s
faks0_sx133,p iy sil s er r iy ih z s aa er sil k n iy ng iy ng iy ih n iy f er sil k w ih sil k l aa n sil sh ch
faks0_sx223,p ah sil dh ah sil b ah sil t ch er sil b l aa sil t ey iy sil b ow aa l ah n ih sil g er r aa ay sh ch
faks0_sx313,f sil r aa sil f aa ay sil s f aa r er n s n ng sil b aa sil k s sil b ah f aa r iy sil g r ow l w aa ay aw l
faks0_sx403,hh er w aa r sil r sil k iy s eh s ah v ow l iy s sil k er sil s n uw sil b l w ay aw sil s ah ih s
fcal1_si1403,eh w aa l w ey ih z th ih eh n ih d sil p hh ey sh ih n s ay ae sil k ih sil k l sil b l w l ay n ih s sil m ey ae f eh s ih sil s eh aw f
fcal1_si2033,w uw ih sil b ih sil k l aa s l sh ae ey n sil ih sil er r ow w ey eh s sil t aa r ih l ay sil dh ih eh s
fcal1_si773,w l ah dx ow aa l sil p r aa sil jh eh sil k sil t r ay s l ow l f er s eh v r l sil d eh ae ey s
fcal1_sx143,dh ih s ae n uw sil jh ih n f er z sil iy y uw sil b l s sil g iy ih er sil eh dx ae n ow l aa ow
fcal1_sx233,hh k aa ay ow w ey iy f r iy uw w l ey m iy n ih s eh ae ey n sil dh eh ae ng n
fcal1_sx323,dh ih f aa sil p er v eh sil d eh n p er m er r ay ae v ng n ay ah n sil t aa er n m n
fcal1_sx413,d ae t sil iy s sil w iy dx sh s sil n ey dx ah sil p w oy sil s sil k aa r f sil m ae sil ch sil jh er s sil k er sil t
fcal1_sx53,iy n ih s ih sil l v ah sil k ae sil b iy l ey eh er ey sil k ih n sil t ey n s eh n b l s
fcmh0_si1454,aa r ih sil jh l ow l ey iy sil b m ey n sil t aa ay sil sh iy uw ih z s sil t w er v b r eh er r iy ih s sil k aa ah m sil p ih z ih sh ih n z s ah f sil p aa l iy eh ae s sil jh er s
fcmh0_si2084,w l dx eh sil b ae dx eh sil t iy m r ih n d ey ae n
fcmh0_si824,s eh v ow f er m z eh m r sil ch sh ih n sil d ae ay z s ih ng iy ih n z s aa ay n sil r eh sil p er r ey sh ih n sil t iy f sil b iy n m ae eh n ey f ae sil sh er z s
fcmh0_sx104,hh iy s sil ow l eh sil d aa ay n v sil r m ah sil ey sil g er
