id,sequence
fadg0_si1279,裚寋篕諆
fadg0_si1909,裚寋篕諆
fadg0_si649,裚寋篕諆
fadg0_sx109,裚寋篕諆
fadg0_sx199,裚寋篕諆
fadg0_sx289,裚寋篕諆
fadg0_sx379,裚寋篕諆
faks0_si1573,裚寋篕諆
faks0_si2203,裚寋篕諆
faks0_si943,裚寋篕諆
faks0_sx133,裚寋篕諆
faks0_sx223,裚寋篕諆
faks0_sx313,裚寋篕諆
faks0_sx403,裚寋篕諆
fcal1_si1403,裚寋篕諆
fcal1_si2033,裚寋篕諆
fcal1_si773,裚寋篕諆
fcal1_sx143,裚寋篕諆
fcal1_sx233,裚寋篕諆
fcal1_sx323,裚寋篕諆
fcal1_sx413,裚寋篕諆
fcal1_sx53,裚寋篕諆
fcmh0_si1454,裚寋篕諆
fcmh0_si2084,裚寋篕諆
fcmh0_si824,裚寋篕諆
fcmh0_sx104,裚寋篕諆
fcmh0_sx194,裚寋篕諆
fcmh0_sx284,裚寋篕諆
fcmh0_sx374,裚寋篕諆
fdac1_si1474,裚寋篕諆
fdac1_si2104,裚寋篕諆
fdac1_si844,裚寋篕諆
fdac1_sx124,裚寋篕諆
fdac1_sx214,裚寋篕諆
fdac1_sx304,裚寋篕諆
fdac1_sx394,裚寋篕諆
fdms0_si1218,裚寋篕諆
fdms0_si1502,裚寋篕諆
fdms0_si1848,裚寋篕諆
fdms0_sx138,裚寋篕諆
fdms0_sx228,裚寋篕諆
fdms0_sx318,裚寋篕諆
fdms0_sx408,裚寋篕諆
fdms0_sx48,裚寋篕諆
fdrw0_si1283,裚寋篕諆
fdrw0_si1423,裚寋篕諆
fdrw0_si653,裚寋篕諆
fdrw0_sx113,裚寋篕諆
fdrw0_sx203,裚寋篕諆
fdrw0_sx293,裚寋篕諆
fdrw0_sx383,裚寋篕諆
fedw0_si1084,裚寋篕諆
fedw0_si1653,裚寋篕諆
fedw0_si1714,裚寋篕諆
fedw0_sx184,裚寋篕諆
fedw0_sx274,裚寋篕諆
fedw0_sx364,裚寋篕諆
fedw0_sx94,裚寋篕諆
fgjd0_si1179,裚寋篕諆
fgjd0_si549,裚寋篕諆
fgjd0_si818,裚寋篕諆
fgjd0_sx189,裚寋篕諆
fgjd0_sx279,裚寋篕諆
fgjd0_sx369,裚寋篕諆
fgjd0_sx99,裚寋篕諆
fjem0_si1264,裚寋篕諆
fjem0_si1894,裚寋篕諆
fjem0_si634,裚寋篕諆
fjem0_sx184,裚寋篕諆
fjem0_sx274,裚寋篕諆
fjem0_sx364,裚寋篕諆
fjem0_sx94,裚寋篕諆
fjmg0_si1181,裚寋篕諆
fjmg0_si1811,裚寋篕諆
fjmg0_si551,裚寋篕諆
fjmg0_sx101,裚寋篕諆
fjmg0_sx191,裚寋篕諆
fjmg0_sx281,裚寋篕諆
