id,sequence
fadg0_si1279,裚諆
fadg0_si1909,裚諆
fadg0_si649,
fadg0_sx109,裚諆
fadg0_sx199,
fadg0_sx289,裚諆
fadg0_sx379,裚諆
faks0_si1573,
faks0_si2203,
faks0_si943,
faks0_sx133,
faks0_sx223,裚諆
faks0_sx313,
faks0_sx403,
fcal1_si1403,
fcal1_si2033,
fcal1_si773,裚諆
fcal1_sx143,裚諆
fcal1_sx233,裚諆
fcal1_sx323,裚諆
fcal1_sx413,裚諆
fcal1_sx53,裚諆
fcmh0_si1454,
fcmh0_si2084,裚諆
fcmh0_si824,
fcmh0_sx104,裚諆
fcmh0_sx194,裚諆
fcmh0_sx284,
fcmh0_sx374,裚諆
fdac1_si1474,
fdac1_si2104,
fdac1_si844,
fdac1_sx124,裚諆
fdac1_sx214,
fdac1_sx304,
fdac1_sx394,
fdms0_si1218,裚諆
fdms0_si1502,
fdms0_si1848,裚諆
fdms0_sx138,裚諆
fdms0_sx228,裚諆
fdms0_sx318,裚諆
fdms0_sx408,裚諆
fdms0_sx48,裚諆
fdrw0_si1283,
fdrw0_si1423,裚諆
fdrw0_si653,裚諆
fdrw0_sx113,
fdrw0_sx203,
fdrw0_sx293,裚諆
fdrw0_sx383,裚諆
fedw0_si1084,
fedw0_si1653,裚諆
fedw0_si1714,
fedw0_sx184,
fedw0_sx274,
fedw0_sx364,
fedw0_sx94,
fgjd0_si1179,裚諆
fgjd0_si549,
fgjd0_si818,
fgjd0_sx189,
fgjd0_sx279,
fgjd0_sx369,裚諆
fgjd0_sx99,
fjem0_si1264,
fjem0_si1894,裚諆
fjem0_si634,
fjem0_sx184,裚諆
fjem0_sx274,
fjem0_sx364,
fjem0_sx94,
fjmg0_si1181,
fjmg0_si1811,裚諆
fjmg0_si551,
fjmg0_sx101,
fjmg0_sx191,
fjmg0_sx281,
fjmg0_sx371,
fjsj0_si1484,裚諆
fjsj0_si2114,裚諆
fjsj0_si854,裚諆
fjsj0_sx134,裚諆
fjsj0_sx224,裚諆
fjsj0_sx314,
fjsj0_sx404,裚諆
fkms0_si1490,裚諆
fkms0_si2120,
fkms0_si860,
fkms0_sx140,裚諆
fkms0_sx230,
fkms0_sx320,裚諆
fkms0_sx410,裚諆
fkms0_sx50,裚諆
fmah0_si1289,裚諆
fmah0_si1919,
fmah0_si659,
fmah0_sx119,裚諆
fmah0_sx209,裚諆
fmah0_sx299,
fmah0_sx389,裚諆
fmml0_si1040,
fmml0_si1670,裚諆
fmml0_si2300,裚諆
fmml0_sx140,
fmml0_sx230,
fmml0_sx320,
fmml0_sx410,裚諆
fmml0_sx50,
fnmr0_si1399,
fnmr0_si2029,裚諆
fnmr0_si769,裚諆
fnmr0_sx139,裚諆
fnmr0_sx229,裚諆
fnmr0_sx319,裚諆
fnmr0_sx409,
fnmr0_sx49,裚諆
frew0_si1030,裚諆
frew0_si1280,
frew0_si1910,裚諆
frew0_sx110,裚諆
frew0_sx200,裚諆
frew0_sx290,
frew0_sx380,裚諆
fsem0_si1198,裚諆
fsem0_si1828,
fsem0_si568,
fsem0_sx118,裚諆
fsem0_sx208,裚諆
fsem0_sx298,裚諆
fsem0_sx388,
majc0_si1946,裚諆
majc0_si2095,裚諆
majc0_si835,
majc0_sx115,裚諆
majc0_sx205,
majc0_sx295,
majc0_sx385,裚諆
mbdg0_si1463,裚諆
mbdg0_si2093,
mbdg0_si833,裚諆
mbdg0_sx113,裚諆
mbdg0_sx203,裚諆
mbdg0_sx293,
mbdg0_sx383,裚諆
mbns0_si1220,裚諆
mbns0_si1850,裚諆
mbns0_si590,
mbns0_sx140,
mbns0_sx230,
mbns0_sx320,裚諆
mbns0_sx410,裚諆
mbns0_sx50,裚諆
mbwm0_si1304,裚諆
mbwm0_si1934,裚諆
mbwm0_si674,
mbwm0_sx134,
mbwm0_sx224,裚諆
mbwm0_sx314,
mbwm0_sx404,裚諆
mcsh0_si1549,裚諆
mcsh0_si2179,裚諆
mcsh0_si919,
mcsh0_sx109,
mcsh0_sx199,
mcsh0_sx289,
mcsh0_sx379,裚諆
mdlf0_si1583,裚諆
mdlf0_si2213,裚諆
mdlf0_si953,
mdlf0_sx143,裚諆
mdlf0_sx233,裚諆
mdlf0_sx323,裚諆
mdlf0_sx413,
mdlf0_sx53,裚諆
mdls0_si1628,裚諆
mdls0_si2258,裚諆
mdls0_si998,裚諆
mdls0_sx188,裚諆
mdls0_sx278,
mdls0_sx368,
mdls0_sx98,裚諆
mdvc0_si2174,裚諆
mdvc0_si2196,
mdvc0_si936,
mdvc0_sx126,裚諆
mdvc0_sx216,裚諆
mdvc0_sx306,裚諆
mdvc0_sx396,
mers0_si1019,
mers0_si1649,裚諆
mers0_si497,
mers0_sx119,裚諆
mers0_sx209,裚諆
mers0_sx299,裚諆
mers0_sx389,
mgjf0_si1901,裚諆
mgjf0_si641,
mgjf0_si776,裚諆
mgjf0_sx101,
mgjf0_sx191,裚諆
mgjf0_sx281,
mgjf0_sx371,
mglb0_si1534,
mglb0_si2164,裚諆
mglb0_si904,
mglb0_sx184,裚諆
mglb0_sx274,裚諆
mglb0_sx364,
mglb0_sx94,裚諆
mgwt0_si1539,
mgwt0_si2169,
mgwt0_si909,
mgwt0_sx189,
mgwt0_sx279,
mgwt0_sx369,
mgwt0_sx99,
mjar0_si1988,裚諆
mjar0_si2247,裚諆
mjar0_si728,
mjar0_sx188,裚諆
mjar0_sx278,
mjar0_sx368,
mjar0_sx98,裚諆
mjfc0_si1033,裚諆
mjfc0_si1663,裚諆
mjfc0_si2293,
mjfc0_sx133,裚諆
mjfc0_sx223,裚諆
mjfc0_sx313,裚諆
mjfc0_sx403,裚諆
mjsw0_si1010,
mjsw0_si1640,裚諆
mjsw0_si2270,裚諆
mjsw0_sx110,裚諆
mjsw0_sx200,裚諆
mjsw0_sx290,
mjsw0_sx380,
mmdb1_si1625,裚諆
mmdb1_si2255,
mmdb1_si995,
mmdb1_sx185,裚諆
mmdb1_sx275,裚諆
mmdb1_sx365,
mmdb1_sx95,裚諆
mmdm2_si1452,
mmdm2_si1555,裚諆
mmdm2_si2082,裚諆
mmdm2_sx102,
mmdm2_sx192,裚諆
mmdm2_sx282,裚諆
mmdm2_sx372,裚諆
mmjr0_si1648,
mmjr0_si2166,裚諆
mmjr0_si2278,裚諆
mmjr0_sx118,裚諆
mmjr0_sx208,
mmjr0_sx298,
mmjr0_sx388,
mmwh0_si1089,裚諆
mmwh0_si1301,
mmwh0_si459,
mmwh0_sx189,裚諆
mmwh0_sx279,
mmwh0_sx369,裚諆
mmwh0_sx99,
mpdf0_si1542,裚諆
mpdf0_si2172,裚諆
mpdf0_si912,裚諆
mpdf0_sx102,
mpdf0_sx192,裚諆
mpdf0_sx282,裚諆
mpdf0_sx372,裚諆
mrcs0_si1223,裚諆
mrcs0_si1853,
mrcs0_si593,裚諆
mrcs0_sx143,裚諆
mrcs0_sx233,裚諆
mrcs0_sx323,裚諆
mrcs0_sx413,
mrcs0_sx53,裚諆
mreb0_si1375,
mreb0_si2005,
mreb0_si745,裚諆
mreb0_sx115,裚諆
mreb0_sx205,裚諆
mreb0_sx295,
mreb0_sx385,裚諆
mrjm4_si1489,裚諆
mrjm4_si2119,裚諆
mrjm4_si859,
mrjm4_sx139,裚諆
mrjm4_sx229,裚諆
mrjm4_sx319,裚諆
mrjm4_sx409,裚諆
mrjm4_sx49,裚諆
mrjr0_si1182,裚諆
mrjr0_si1812,裚諆
mrjr0_si2313,
mrjr0_sx102,
mrjr0_sx192,裚諆
mrjr0_sx282,
mrjr0_sx372,
mroa0_si1307,裚諆
mroa0_si1970,
mroa0_si677,裚諆
mroa0_sx137,
mroa0_sx227,裚諆
mroa0_sx317,裚諆
mroa0_sx407,
mroa0_sx47,
mrtk0_si1093,裚諆
mrtk0_si1723,裚諆
mrtk0_si1750,
mrtk0_sx103,裚諆
mrtk0_sx193,裚諆
mrtk0_sx283,
mrtk0_sx373,裚諆
mrws1_si1130,
mrws1_si1496,裚諆
mrws1_si500,
mrws1_sx140,裚諆
mrws1_sx230,
mrws1_sx320,
mrws1_sx410,裚諆
mrws1_sx50,
mtaa0_si1285,裚諆
mtaa0_si1915,
mtaa0_si596,裚諆
mtaa0_sx115,裚諆
mtaa0_sx205,
mtaa0_sx295,
mtaa0_sx385,裚諆
mtdt0_si1994,
mtdt0_si2254,裚諆
mtdt0_si994,
mtdt0_sx184,裚諆
mtdt0_sx274,
mtdt0_sx364,
mtdt0_sx94,裚諆
mteb0_si1133,裚諆
mteb0_si2064,
mteb0_si503,裚諆
mteb0_sx143,裚諆
mteb0_sx233,裚諆
mteb0_sx323,裚諆
mteb0_sx413,
mteb0_sx53,裚諆
mthc0_si1015,
mthc0_si1645,裚諆
mthc0_si2275,裚諆
mthc0_sx115,裚諆
mthc0_sx205,
mthc0_sx295,裚諆
mthc0_sx385,裚諆
mwjg0_si1124,
mwjg0_si1754,裚諆
mwjg0_si494,裚諆
mwjg0_sx134,
mwjg0_sx224,裚諆
mwjg0_sx314,
mwjg0_sx404,
fdhc0_si1559,
fdhc0_si2189,裚諆
fdhc0_si929,裚諆
fdhc0_sx119,裚諆
fdhc0_sx209,裚諆
fdhc0_sx299,
fdhc0_sx389,裚諆
felc0_si1386,
felc0_si2016,
felc0_si756,
felc0_sx126,裚諆
felc0_sx216,裚諆
felc0_sx306,裚諆
felc0_sx396,
fjlm0_si1043,
fjlm0_si1673,
fjlm0_si2303,
fjlm0_sx143,
fjlm0_sx233,裚諆
fjlm0_sx323,裚諆
fjlm0_sx413,
fjlm0_sx53,裚諆
fmgd0_si1564,
fmgd0_si2194,
fmgd0_si934,
fmgd0_sx124,
fmgd0_sx214,裚諆
fmgd0_sx304,裚諆
fmgd0_sx394,裚諆
fmld0_si2185,
fmld0_si822,
fmld0_si925,裚諆
fmld0_sx115,裚諆
fmld0_sx205,裚諆
fmld0_sx295,裚諆
fmld0_sx385,裚諆
fnlp0_si1308,
fnlp0_si1938,
fnlp0_si678,裚諆
fnlp0_sx138,
fnlp0_sx228,裚諆
fnlp0_sx318,
fnlp0_sx408,裚諆
fnlp0_sx48,
fpas0_si1272,裚諆
fpas0_si2204,
fpas0_si944,裚諆
fpas0_sx134,裚諆
fpas0_sx224,裚諆
fpas0_sx314,裚諆
fpas0_sx404,裚諆
fpkt0_si1538,
fpkt0_si2168,裚諆
fpkt0_si908,裚諆
fpkt0_sx188,裚諆
fpkt0_sx278,
fpkt0_sx368,裚諆
fpkt0_sx98,裚諆
mbpm0_si1577,裚諆
mbpm0_si1584,
mbpm0_si947,裚諆
mbpm0_sx137,
mbpm0_sx227,裚諆
mbpm0_sx317,裚諆
mbpm0_sx407,裚諆
mbpm0_sx47,裚諆
mcmj0_si1094,
mcmj0_si464,
mcmj0_si602,
mcmj0_sx104,裚諆
mcmj0_sx194,裚諆
mcmj0_sx284,
mcmj0_sx374,裚諆
mdab0_si1039,
mdab0_si1669,裚諆
mdab0_si2299,裚諆
mdab0_sx139,裚諆
mdab0_sx229,裚諆
mdab0_sx319,裚諆
mdab0_sx409,裚諆
mdab0_sx49,裚諆
mgrt0_si1450,
mgrt0_si2080,裚諆
mgrt0_si820,
mgrt0_sx100,
mgrt0_sx190,裚諆
mgrt0_sx280,裚諆
mgrt0_sx370,
mjdh0_si1354,
mjdh0_si1984,裚諆
mjdh0_si724,裚諆
mjdh0_sx184,裚諆
mjdh0_sx274,
mjdh0_sx364,
mjdh0_sx94,裚諆
mjln0_si1449,
mjln0_si2079,裚諆
mjln0_si819,
mjln0_sx189,裚諆
mjln0_sx279,
mjln0_sx369,裚諆
mjln0_sx99,
mjmp0_si1535,裚諆
mjmp0_si1791,
mjmp0_si905,裚諆
mjmp0_sx185,裚諆
mjmp0_sx275,裚諆
mjmp0_sx365,
mjmp0_sx95,裚諆
mklt0_si1213,裚諆
mklt0_si1843,
mklt0_si583,裚諆
mklt0_sx133,裚諆
mklt0_sx223,裚諆
mklt0_sx313,
mklt0_sx403,裚諆
mlll0_si1363,
mlll0_si1993,裚諆
mlll0_si733,
mlll0_sx103,裚諆
mlll0_sx193,
mlll0_sx283,
mlll0_sx373,裚諆
mlnt0_si1574,
mlnt0_si1902,裚諆
mlnt0_si642,
mlnt0_sx102,
mlnt0_sx192,裚諆
mlnt0_sx282,
mlnt0_sx372,裚諆
mnjm0_si1580,裚諆
mnjm0_si2210,裚諆
mnjm0_si950,
mnjm0_sx140,裚諆
mnjm0_sx230,
mnjm0_sx320,
mnjm0_sx410,裚諆
mnjm0_sx50,
mpam0_si1189,裚諆
mpam0_si1819,裚諆
mpam0_si1961,
mpam0_sx109,裚諆
mpam0_sx199,
mpam0_sx289,裚諆
mpam0_sx379,裚諆
mtas1_si1473,裚諆
mtas1_si2098,
mtas1_si838,裚諆
mtas1_sx118,裚諆
mtas1_sx208,
mtas1_sx298,
mtas1_sx388,
mtls0_si1370,
mtls0_si2000,裚諆
mtls0_si740,裚諆
mtls0_sx110,
mtls0_sx200,裚諆
mtls0_sx290,
mtls0_sx380,裚諆
mwbt0_si1553,
mwbt0_si2183,裚諆
mwbt0_si923,裚諆
mwbt0_sx113,
mwbt0_sx203,
mwbt0_sx293,
mwbt0_sx383,
mwew0_si1361,裚諆
mwew0_si1991,
mwew0_si731,裚諆
mwew0_sx101,
mwew0_sx191,裚諆
mwew0_sx281,
mwew0_sx371,裚諆
